순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS
4,이재익,삼성,1.23,7,1,0,0,0,1.000,7 1/3,8,0,2,0,6,1,1,1.36,0,0,0,0,31,113,0.276,0,1,0,0,0,1,0,0,0,1,1,0,0,1,11,4,2.75,0.348,16.1,15.4,7.36,2.45,3.00,0.323,0.345,0.668
5,백정현,삼성,1.95,29,2,0,1,3,1.000,32 1/3,19,1,7,2,31,7,7,0.8,0,0,0,2,128,505,0.165,6,0,2,2,0,0,0,1,0,2,8,8,0,0,34,33,1.03,0.212,17.4,15.6,8.63,1.95,4.43,0.222,0.243,0.465
6,후라도,삼성,2.6,30,15,8,0,0,0.652,197 1/3,177,17,36,4,142,65,57,1.08,3,2,23,0,786,2921,0.239,17,3,5,1,0,3,0,30,15,0,3,0,0,23,249,173,1.44,0.275,97.4,14.8,6.48,1.64,3.94,0.278,0.339,0.617
7,가라비토,삼성,2.64,15,4,4,0,0,0.500,78 1/3,56,6,37,6,84,31,23,1.19,0,0,4,0,327,1356,0.2,5,0,4,0,1,2,0,15,4,0,0,0,0,6,80,60,1.33,0.263,90.4,17.3,9.65,4.25,2.27,0.307,0.282,0.589
8,이재희,삼성,3.0,11,0,2,0,4,0.000,9,7,0,5,0,9,3,3,1.33,0,0,0,0,39,157,0.206,1,1,0,0,0,0,0,0,0,0,1,3,0,0,5,13,0.38,0.28,14.3,17.4,9.0,5.0,1.80,0.308,0.294,0.602
9,원태인,삼성,3.24,27,12,4,0,0,0.750,166 2/3,157,20,27,6,108,66,60,1.1,0,0,20,0,671,2493,0.253,32,2,11,6,1,1,0,27,12,0,0,0,0,18,173,189,0.92,0.275,92.3,15.0,5.83,1.46,4.00,0.288,0.407,0.695
10,양창섭,삼성,3.43,33,3,3,0,2,0.500,63,67,3,19,9,45,29,24,1.37,0,0,0,0,276,969,0.278,10,0,3,4,1,4,0,6,0,3,6,3,0,8,69,64,1.08,0.325,29.4,15.4,6.43,2.71,2.37,0.348,0.357,0.705
11,이승민,삼성,3.78,62,3,2,0,8,0.600,64 1/3,61,5,26,3,53,37,27,1.35,0,0,0,0,280,1068,0.249,15,2,5,1,2,1,0,1,0,3,11,7,0,2,66,66,1.0,0.298,17.2,16.6,7.41,3.64,2.04,0.327,0.388,0.715
12,배찬승,삼성,3.91,65,2,3,0,19,0.400,50 2/3,50,3,34,2,57,25,22,1.66,0,0,0,2,233,962,0.259,11,0,4,0,1,5,0,0,0,2,5,19,0,5,49,37,1.32,0.353,14.8,19.0,10.13,6.04,1.68,0.376,0.363,0.739
13,레예스,삼성,4.14,10,4,3,0,0,0.571,50,51,5,12,3,35,26,23,1.26,0,0,2,0,215,844,0.264,7,1,3,4,0,0,0,10,4,0,0,0,0,1,53,58,0.91,0.293,84.4,16.9,6.3,2.16,2.92,0.311,0.389,0.7
